FID,aminity,lat,lon,name,addressline,type,info
budovy_ksk.4278,Shop,48.7213545,21.2617928,Gastrodom, ,commercial,"{""web"": ""none""}"
budovy_ksk.4317,Shop,48.7066543,21.2433751, , ,retail,"{""web"": ""none""}"
budovy_ksk.4321,School,48.708415,21.243231, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.4355,Shop,48.7229311,21.2657985, , ,retail,"{""web"": ""none""}"
budovy_ksk.4395,School,48.7258391,21.2626217, , ,school,"{""web"": ""none""}"
budovy_ksk.4402,School,48.725394,21.2609553, , ,school,"{""web"": ""none""}"
budovy_ksk.4480,School,48.7279916,21.2614122, , ,school,"{""web"": ""none""}"
budovy_ksk.5312,Shop,48.7159971,21.267922,Podnikateľské centrum, ,commercial,"{""web"": ""none""}"
budovy_ksk.5330,Shop,48.7167615,21.2673839,Podnikateľské centrum, ,commercial,"{""web"": ""none""}"
budovy_ksk.6915,Shop,48.7000947,21.2236148,Abra, ,retail,"{""web"": ""none""}"
budovy_ksk.9750,Sport,48.7180273,21.2351596, , ,sports_centre,"{""web"": ""none""}"
budovy_ksk.9751,Shop,48.718211,21.2350603, , ,retail,"{""web"": ""none""}"
budovy_ksk.9766,School,48.7173813,21.2374757, , ,school,"{""web"": ""none""}"
budovy_ksk.9771,Job,48.7169913,21.2373864,Centrum pedagogicko-psychologického poradenstva a prevencie, ,office,"{""web"": ""none""}"
budovy_ksk.9772,School,48.7172535,21.2380735, , ,school,"{""web"": ""none""}"
budovy_ksk.9773,School,48.7179223,21.2378642, , ,school,"{""web"": ""none""}"
budovy_ksk.9774,School,48.7176523,21.237542, , ,school,"{""web"": ""none""}"
budovy_ksk.9775,School,48.7178873,21.2382252, , ,school,"{""web"": ""none""}"
budovy_ksk.9796,Shop,48.7406623,21.2641439,Tesco, ,retail,"{""web"": ""none""}"
budovy_ksk.9797,Shop,48.7413506,21.2633303,Nay, ,retail,"{""web"": ""none""}"
budovy_ksk.9798,Shop,48.7416433,21.2651943, , ,retail,"{""web"": ""none""}"
budovy_ksk.9801,Shop,48.7313522,21.2524101, , ,commercial,"{""web"": ""none""}"
budovy_ksk.10435,Shop,48.7130789,21.2645375, , ,commercial,"{""web"": ""none""}"
budovy_ksk.10436,School,48.714685,21.2639882, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.10446,Job,48.7146454,21.2612574, , ,office,"{""web"": ""none""}"
budovy_ksk.10450,Job,48.7142675,21.2613242,FPT Slovakia, ,office,"{""web"": ""none""}"
budovy_ksk.10456,Shop,48.7136737,21.2613383,Office Point, ,commercial,"{""web"": ""none""}"
budovy_ksk.10463,Shop,48.7134509,21.2617381, , ,retail,"{""web"": ""none""}"
budovy_ksk.10481,Shop,48.7169007,21.2627761, , ,commercial,"{""web"": ""none""}"
budovy_ksk.10515,School,48.715444,21.2654272, , ,school,"{""web"": ""none""}"
budovy_ksk.12400,Job,48.731707,21.266679, , ,office,"{""web"": ""none""}"
budovy_ksk.12447,Job,48.7318197,21.2671405, , ,office,"{""web"": ""none""}"
budovy_ksk.12449,Job,48.7321779,21.2668381,Cromwell, ,office,"{""web"": ""none""}"
budovy_ksk.12451,Shop,48.7315044,21.2668957, , ,commercial,"{""web"": ""none""}"
budovy_ksk.12453,Job,48.7345167,21.2644755, , ,office,"{""web"": ""none""}"
budovy_ksk.12515,School,48.7221986,21.2730534, , ,school,"{""web"": ""none""}"
budovy_ksk.12545,Shop,48.7124506,21.2472482,Elkem, ,retail,"{""web"": ""none""}"
budovy_ksk.12580,School,48.7128454,21.2483427, , ,school,"{""web"": ""none""}"
budovy_ksk.12693,Shop,48.7131071,21.2530886, , ,commercial,"{""web"": ""none""}"
budovy_ksk.12701,Shop,48.7131048,21.2534901, , ,commercial,"{""web"": ""none""}"
budovy_ksk.12702,Shop,48.7131777,21.2545664, , ,commercial,"{""web"": ""none""}"
budovy_ksk.12720,Shop,48.7143351,21.2585227, , ,retail,"{""web"": ""none""}"
budovy_ksk.12748,Shop,48.7145775,21.2488546, , ,commercial,"{""web"": ""none""}"
budovy_ksk.12750,School,48.7136221,21.250019, , ,school,"{""web"": ""none""}"
budovy_ksk.12766,Sport,48.7136264,21.249507, , ,sports_centre,"{""web"": ""none""}"
budovy_ksk.12770,Shop,48.7148478,21.2486983, , ,commercial,"{""web"": ""none""}"
budovy_ksk.12781,Shop,48.7149613,21.2494386, , ,retail,"{""web"": ""none""}"
budovy_ksk.12810,School,48.7154295,21.2504917, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.12935,Shop,48.7157879,21.2550946, , ,commercial,"{""web"": ""none""}"
budovy_ksk.13005,Shop,48.7147855,21.2589293, , ,retail,"{""web"": ""none""}"
budovy_ksk.13060,Shop,48.7146735,21.2594568, , ,retail,"{""web"": ""none""}"
budovy_ksk.13067,Shop,48.7151725,21.2595837, , ,retail,"{""web"": ""none""}"
budovy_ksk.13068,Shop,48.7151507,21.2593034, , ,retail,"{""web"": ""none""}"
budovy_ksk.13078,Shop,48.7149033,21.2593183, , ,retail,"{""web"": ""none""}"
budovy_ksk.13120,Shop,48.7435443,21.2756629, , ,retail,"{""web"": ""none""}"
budovy_ksk.13136,Shop,48.7400255,21.2778685,Fresh Plus, ,retail,"{""web"": ""none""}"
budovy_ksk.13144,School,48.7404382,21.2793712, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.13231,School,48.7350014,21.2873219, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.14262,School,48.7428342,21.2762285, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.15882,Shop,48.7017405,21.2396867, , ,commercial,"{""web"": ""none""}"
budovy_ksk.15887,Shop,48.7051958,21.2345197, , ,retail,"{""web"": ""none""}"
budovy_ksk.15926,Shop,48.7030768,21.2351048,Stavebné bytové družstvo II., ,commercial,"{""web"": ""none""}"
budovy_ksk.16254,Shop,48.7041583,21.2358484, , ,commercial,"{""web"": ""none""}"
budovy_ksk.16295,Shop,48.7054277,21.2344114, , ,retail,"{""web"": ""none""}"
budovy_ksk.16373,School,48.7049162,21.2406238, , ,school,"{""web"": ""none""}"
budovy_ksk.18123,School,48.7049598,21.2827636, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.18150,School,48.7064131,21.2818978, , ,school,"{""web"": ""none""}"
budovy_ksk.18550,School,48.7175745,21.2784926, , ,school,"{""web"": ""none""}"
budovy_ksk.20968,Job,48.7409937,21.2592243, , ,industrial,"{""web"": ""none""}"
budovy_ksk.20972,Shop,48.7403218,21.2637578, , ,retail,"{""web"": ""none""}"
budovy_ksk.20984,Job,48.740659,21.2603139, , ,industrial,"{""web"": ""none""}"
budovy_ksk.20988,Job,48.740359,21.2600735, , ,industrial,"{""web"": ""none""}"
budovy_ksk.21009,Shop,48.740576,21.2631315,Mountfield, ,retail,"{""web"": ""none""}"
budovy_ksk.21167,Job,48.7412176,21.2586857,Hornet Autosklo, ,industrial,"{""web"": ""none""}"
budovy_ksk.21386,School,48.7275392,21.2875364,Základná škola Ľudovíta Fullu, ,school,"{""web"": ""none""}"
budovy_ksk.21453,School,48.7284129,21.2862141, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.21504,School,48.723849,21.2437123, , ,school,"{""web"": ""none""}"
budovy_ksk.21508,School,48.7229477,21.2441984, , ,school,"{""web"": ""none""}"
budovy_ksk.21518,School,48.723838,21.2433728, , ,school,"{""web"": ""none""}"
budovy_ksk.21662,School,48.7246575,21.2422432,MŠ Tatranská 23, ,school,"{""web"": ""none""}"
budovy_ksk.21702,Shop,48.7288913,21.2426336, , ,commercial,"{""web"": ""none""}"
budovy_ksk.21765,School,48.7282885,21.2450546, , ,school,"{""web"": ""none""}"
budovy_ksk.21880,Job,48.7211888,21.2453218,Spoločenskovedný ústav Slovenskej akadémie vied, ,office,"{""web"": ""none""}"
budovy_ksk.21964,School,48.7223521,21.2450166, , ,school,"{""web"": ""none""}"
budovy_ksk.22232,Shop,48.7441318,21.2685626,Kärcher, ,retail,"{""web"": ""none""}"
budovy_ksk.22235,Job,48.7453209,21.2675628, , ,office,"{""web"": ""none""}"
budovy_ksk.22346,Shop,48.7449224,21.2701187, , ,commercial,"{""web"": ""none""}"
budovy_ksk.22343,Job,48.7464671,21.2706304,Stredisko správy a údržby rýchlostných ciest, ,office,"{""web"": ""none""}"
budovy_ksk.22993,School,48.707033,21.211331, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.23718,Shop,48.7291902,21.2602729,Slovnaft, ,retail,"{""web"": ""none""}"
budovy_ksk.23943,Shop,48.7330422,21.2617666, , ,retail,"{""web"": ""none""}"
budovy_ksk.24638,School,48.7298808,21.2533764,Stredná odborná škola Jána Bocatia, ,school,"{""web"": ""none""}"
budovy_ksk.24665,Job,48.7281137,21.2551884,Daňový úrad Košice, ,office,"{""web"": ""none""}"
budovy_ksk.24935,Shop,48.7276466,21.2495792,METEC PLUS, ,commercial,"{""web"": ""none""}"
budovy_ksk.24936,Shop,48.7275739,21.2493396, , ,commercial,"{""web"": ""none""}"
budovy_ksk.25210,School,48.719585,21.234982, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.25281,School,48.7195941,21.2374851, , ,school,"{""web"": ""none""}"
budovy_ksk.25282,School,48.7192216,21.2370856, , ,school,"{""web"": ""none""}"
budovy_ksk.25645,Shop,48.7150071,21.2360111,Trade Center, ,commercial,"{""web"": ""none""}"
budovy_ksk.25648,Job,48.7152227,21.2356297, , ,office,"{""web"": ""none""}"
budovy_ksk.25650,Shop,48.7155587,21.2356132, , ,retail,"{""web"": ""none""}"
budovy_ksk.25657,Shop,48.7153932,21.2369753,Galéria, ,retail,"{""web"": ""none""}"
budovy_ksk.26106,Shop,48.7157426,21.2466859,Stará sladovňa, ,retail,"{""web"": ""none""}"
budovy_ksk.26118,Job,48.7183726,21.2501382, , ,office,"{""web"": ""none""}"
budovy_ksk.26121,Transport,48.7173664,21.2493006, , ,parking,"{""web"": ""none""}"
budovy_ksk.26122,Transport,48.7174591,21.2496721, , ,parking,"{""web"": ""none""}"
budovy_ksk.26182,School,48.7208008,21.2476534, , ,school,"{""web"": ""none""}"
budovy_ksk.27254,School,48.7466375,21.2435162, , ,school,"{""web"": ""none""}"
budovy_ksk.28121,Shop,48.722801,21.2307402, , ,retail,"{""web"": ""none""}"
budovy_ksk.28202,School,48.7203768,21.2305911, , ,college,"{""web"": ""none""}"
budovy_ksk.28235,Shop,48.7190368,21.2324102, , ,retail,"{""web"": ""none""}"
budovy_ksk.28295,School,48.72223,21.2323185, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.28405,School,48.7163311,21.229904, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.28416,School,48.7179463,21.2300226, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.28655,School,48.7117954,21.2291727,Základná umelecká škola Uherova 11, ,school,"{""web"": ""none""}"
budovy_ksk.28678,School,48.7090963,21.2313651, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.28773,School,48.7118149,21.2330876, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.29002,Shop,48.7235589,21.2294524, , ,retail,"{""web"": ""none""}"
budovy_ksk.29018,Job,48.7237601,21.2346459,AIR - TRANSPORT EUROPE, ,office,"{""web"": ""none""}"
budovy_ksk.29106,School,48.7048599,21.2325494, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.29111,Shop,48.7054007,21.2323139, , ,commercial,"{""web"": ""none""}"
budovy_ksk.29260,School,48.7087158,21.2344384, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.29261,School,48.7087801,21.2346943, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.29262,School,48.7089753,21.2341687, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.29263,School,48.7087188,21.2338452, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.29272,Shop,48.7023405,21.2312964,Marco Car, ,retail,"{""web"": ""none""}"
budovy_ksk.29318,Shop,48.7020204,21.2309872, , ,retail,"{""web"": ""none""}"
budovy_ksk.29408,Shop,48.7010555,21.2298201,Eso, ,retail,"{""web"": ""none""}"
budovy_ksk.29495,Job,48.7012955,21.2301487,"GEOLAB, s.r.o.", ,office,"{""web"": ""none""}"
budovy_ksk.29502,School,48.6986842,21.2322165, , ,school,"{""web"": ""none""}"
budovy_ksk.29505,School,48.6998935,21.2330521, , ,school,"{""web"": ""none""}"
budovy_ksk.29525,Shop,48.7019397,21.2318319, , ,retail,"{""web"": ""none""}"
budovy_ksk.29526,Shop,48.7019759,21.2315189, , ,retail,"{""web"": ""none""}"
budovy_ksk.29743,Shop,48.7281277,21.2422914,Slovnaft, ,retail,"{""web"": ""none""}"
budovy_ksk.29903,Shop,48.7079193,21.2445672, , ,commercial,"{""web"": ""none""}"
budovy_ksk.29957,School,48.7105035,21.2426092, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.29958,School,48.7102004,21.240638, , ,school,"{""web"": ""none""}"
budovy_ksk.29960,School,48.7098187,21.2386995, , ,school,"{""web"": ""none""}"
budovy_ksk.30298,Shop,48.7149151,21.2358058, , ,commercial,"{""web"": ""none""}"
budovy_ksk.30327,Shop,48.7165863,21.2394173, , ,retail,"{""web"": ""none""}"
budovy_ksk.30386,School,48.7193604,21.2368314, , ,school,"{""web"": ""none""}"
budovy_ksk.126083,Job,48.7136956,21.2517109, , ,office,"{""web"": ""none""}"
budovy_ksk.164797,School,48.7150543,21.2084923, , ,school,"{""web"": ""none""}"
budovy_ksk.164808,School,48.7183196,21.2109919, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.164819,School,48.7202654,21.2132524, , ,school,"{""web"": ""none""}"
budovy_ksk.164853,School,48.7157906,21.2081261,Základná škola Janigova, ,school,"{""web"": ""none""}"
budovy_ksk.164878,Shop,48.7299577,21.2425985,Cassofin Bussines Centre I, ,commercial,"{""web"": ""none""}"
budovy_ksk.164880,School,48.717063,21.2157668, , ,school,"{""web"": ""none""}"
budovy_ksk.164891,School,48.7186581,21.2154471, , ,school,"{""web"": ""none""}"
budovy_ksk.164892,School,48.7178973,21.215954, , ,school,"{""web"": ""none""}"
budovy_ksk.164903,School,48.7149951,21.2171069, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.164904,School,48.7176154,21.2157607, , ,school,"{""web"": ""none""}"
budovy_ksk.164923,School,48.7138901,21.2090005, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.164925,School,48.7174798,21.2161553,ZŠ Starozagorská, ,school,"{""web"": ""none""}"
budovy_ksk.165508,Shop,48.7188157,21.2450776,Cassovar Business Center, ,retail,"{""web"": ""none""}"
budovy_ksk.165509,School,48.7191897,21.2481183, , ,school,"{""web"": ""none""}"
budovy_ksk.175434,School,48.7054331,21.2280501,Centrum voľného času Domino, ,school,"{""web"": ""none""}"
budovy_ksk.193306,Shop,48.7172359,21.2614442,Aupark, ,retail,"{""web"": ""none""}"
budovy_ksk.193710,Shop,48.6974948,21.2352941, , ,commercial,"{""web"": ""none""}"
budovy_ksk.193711,Shop,48.6972476,21.2351436,KOŠICE hotel, ,commercial,"{""web"": ""none""}"
budovy_ksk.199215,Shop,48.718482,21.2642033,Aupark Tower, ,commercial,"{""web"": ""none""}"
budovy_ksk.221032,Shop,48.6942326,21.2529134,Shell, ,retail,"{""web"": ""none""}"
budovy_ksk.221039,Job,48.6936724,21.2480169,Jobelsa, ,industrial,"{""web"": ""none""}"
budovy_ksk.221068,Shop,48.6950335,21.2424469, , ,retail,"{""web"": ""none""}"
budovy_ksk.221106,Shop,48.7304809,21.2434751,HPK business center, ,commercial,"{""web"": ""none""}"
budovy_ksk.221122,Shop,48.703066,21.245022,Slovnaft, ,retail,"{""web"": ""none""}"
budovy_ksk.221195,Shop,48.7280319,21.2775319, , ,retail,"{""web"": ""none""}"
budovy_ksk.221197,Shop,48.7256281,21.2770736, , ,retail,"{""web"": ""none""}"
budovy_ksk.221548,School,48.6958411,21.2821259, , ,school,"{""web"": ""none""}"
budovy_ksk.221578,Shop,48.6958977,21.2857325, , ,commercial,"{""web"": ""none""}"
budovy_ksk.222128,Shop,48.7039344,21.2610767,Strojár, ,commercial,"{""web"": ""none""}"
budovy_ksk.222318,School,48.7010119,21.2544156, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.222319,School,48.7010284,21.2548601, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.222320,School,48.7015419,21.2546317, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.222321,School,48.7013422,21.2543329, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.222322,School,48.701329,21.2548701, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.222613,School,48.7057453,21.2571086, , ,school,"{""web"": ""none""}"
budovy_ksk.222862,Job,48.7295837,21.2388694, , ,industrial,"{""web"": ""none""}"
budovy_ksk.222863,School,48.7302994,21.2381375, , ,school,"{""web"": ""none""}"
budovy_ksk.223022,School,48.7051128,21.2594668, , ,school,"{""web"": ""none""}"
budovy_ksk.223026,Transport,48.7084224,21.2658742,Košice predmestie, ,train_station,"{""web"": ""none""}"
budovy_ksk.223698,Job,48.6988288,21.2729026, , ,industrial,"{""web"": ""none""}"
budovy_ksk.223947,Shop,48.7302165,21.2409209,Podnikateľské centrum, ,commercial,"{""web"": ""none""}"
budovy_ksk.223949,School,48.7308848,21.2409165, , ,school,"{""web"": ""none""}"
budovy_ksk.223951,Shop,48.730146,21.241525,HS HSV s.r.o., ,commercial,"{""web"": ""none""}"
budovy_ksk.224096,Job,48.7083995,21.2681906, , ,industrial,"{""web"": ""none""}"
budovy_ksk.224172,Job,48.7090692,21.2693169, , ,industrial,"{""web"": ""none""}"
budovy_ksk.224289,Job,48.7114867,21.2692368, , ,industrial,"{""web"": ""none""}"
budovy_ksk.224879,School,48.705381,21.2623695, , ,school,"{""web"": ""none""}"
budovy_ksk.224880,School,48.7051244,21.2624227, , ,school,"{""web"": ""none""}"
budovy_ksk.224955,School,48.7098592,21.263309, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.225057,School,48.711801,21.2637551, , ,school,"{""web"": ""none""}"
budovy_ksk.225060,School,48.7123788,21.2631244, , ,school,"{""web"": ""none""}"
budovy_ksk.225155,School,48.7088404,21.259422, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.225238,Job,48.7122627,21.2574841, , ,office,"{""web"": ""none""}"
budovy_ksk.225273,Job,48.7122265,21.2573284, , ,office,"{""web"": ""none""}"
budovy_ksk.225659,Shop,48.7121129,21.2517452,Office House Slovakia, ,commercial,"{""web"": ""none""}"
budovy_ksk.225835,Shop,48.708719,21.2484333,Castor Business Residence, ,commercial,"{""web"": ""none""}"
budovy_ksk.225979,School,48.7082504,21.2512168, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.226353,Shop,48.7073606,21.2462906, , ,commercial,"{""web"": ""none""}"
budovy_ksk.226356,Shop,48.7064293,21.2475829,BCT-1, ,commercial,"{""web"": ""none""}"
budovy_ksk.226369,Shop,48.7067743,21.2474207, , ,commercial,"{""web"": ""none""}"
budovy_ksk.226370,Shop,48.7073439,21.2461811, , ,commercial,"{""web"": ""none""}"
budovy_ksk.226377,Shop,48.7076906,21.2461463,Business Center Moldavská, ,commercial,"{""web"": ""none""}"
budovy_ksk.226379,Shop,48.7014104,21.2504191, , ,retail,"{""web"": ""none""}"
budovy_ksk.226380,Shop,48.7060638,21.2474398, , ,commercial,"{""web"": ""none""}"
budovy_ksk.226382,Job,48.7368393,21.2632013, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226384,Job,48.7367305,21.2630968, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226387,Job,48.7370435,21.2630254, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226389,Job,48.7375485,21.2629607, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226394,Job,48.7372201,21.2630849, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226395,Job,48.736634,21.2630242, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226396,Job,48.7351183,21.2631717, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226400,Job,48.737394,21.2630905, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226405,Job,48.7367342,21.2628329, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226406,Job,48.73653,21.2629441, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226409,Job,48.7366446,21.2655447, , ,office,"{""web"": ""none""}"
budovy_ksk.226410,Job,48.7370514,21.2629571, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226413,Job,48.7350282,21.2631487, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226416,Job,48.7369097,21.266289, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226417,Job,48.7361224,21.266426, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226418,Job,48.7363222,21.2632203, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226421,Job,48.7359445,21.2645355, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226423,Job,48.735743,21.2652791, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226426,Job,48.7363224,21.2660555, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226430,Job,48.7379522,21.2642861, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226431,Job,48.7356868,21.2638008, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226433,Job,48.7359119,21.2657834, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226435,Job,48.7360829,21.2667178, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226436,Job,48.7351009,21.2656656, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226440,Job,48.7354479,21.2638238, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226445,Job,48.7367358,21.2646526, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226451,Job,48.7354223,21.2667379, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226454,Job,48.736101,21.2661026, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226456,Job,48.7375732,21.2643131, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226457,Job,48.7354771,21.2656576, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226459,Job,48.7362354,21.2655975, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226468,Job,48.7381734,21.2613847, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226469,Job,48.7380069,21.2613802, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226495,Job,48.7381832,21.2617212, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226584,Job,48.7395278,21.2585911, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226678,Job,48.7398171,21.2582208, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226699,Job,48.7400114,21.2578771, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226773,Job,48.7404078,21.2575026, , ,office,"{""web"": ""none""}"
budovy_ksk.226804,Job,48.7402283,21.2574897, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226881,Job,48.7402593,21.257886, , ,industrial,"{""web"": ""none""}"
budovy_ksk.226969,School,48.732698,21.255256, , ,kindergarten,"{""web"": ""none""}"
budovy_ksk.226982,Shop,48.7353748,21.255711,Kľúčové centrum, ,retail,"{""web"": ""none""}"
budovy_ksk.227014,Sport,48.7360646,21.2551718, , ,sports_centre,"{""web"": ""none""}"
budovy_ksk.227021,Sport,48.7357203,21.2551049, , ,sports_centre,"{""web"": ""none""}"
budovy_ksk.227024,Sport,48.7360645,21.2550861, , ,sports_centre,"{""web"": ""none""}"
budovy_ksk.227031,Sport,48.7361619,21.2546623, , ,sports_centre,"{""web"": ""none""}"
budovy_ksk.227094,Job,48.7376546,21.2537173,Antik Telecom, ,office,"{""web"": ""none""}"
budovy_ksk.227100,Job,48.7382276,21.2551633, , ,industrial,"{""web"": ""none""}"
budovy_ksk.227164,Job,48.7389735,21.2533738, , ,office,"{""web"": ""none""}"
budovy_ksk.227328,School,48.7380736,21.2557274, , ,school,"{""web"": ""none""}"
budovy_ksk.227330,Shop,48.7394682,21.2550577, , ,commercial,"{""web"": ""none""}"
budovy_ksk.227331,Shop,48.7401161,21.2559848, , ,commercial,"{""web"": ""none""}"
budovy_ksk.227372,Job,48.7392948,21.2550803, , ,office,"{""web"": ""none""}"
